ts,open,high,low,close,volume
1526547600000,8260.0,8316.24,8259.99,8288.27,123.48
1526551200000,8288.27,8311.45,8262.51,8302.0,104.16
1526554800000,8302.0,8317.03,8289.53,8299.99,112.46
1526558400000,8299.99,8322.98,8227.26,8273.3,338.08
1526562000000,8273.3,8300.0,8262.01,8298.0,132.1
1526565600000,8298.0,8350.0,8294.73,8316.3,509.1
1526569200000,8316.3,8323.39,8299.0,8303.83,210.11
1526572800000,8303.83,8305.0,8233.0,8279.31,351.11
1526576400000,8279.31,8282.85,8236.99,8255.99,255.47
1526580000000,8255.99,8270.01,8101.0,8168.58,616.18
1526583600000,8168.58,8189.0,8156.08,8175.01,362.3
1526587200000,8175.01,8227.0,8175.0,8202.75,339.13
1526590800000,8202.75,8202.76,8139.0,8146.98,309.54
1526594400000,8146.98,8146.98,8001.0,8075.0,1207.93
1526598000000,8075.0,8095.0,8006.0,8059.0,357.89
1526601600000,8059.0,8059.0,7927.21,7954.91,711.43
1526605200000,7954.91,8010.99,7930.0,7979.99,475.82
1526608800000,7979.99,8019.98,7952.46,7996.47,304.06
1526612400000,7996.47,8026.0,7987.68,7996.88,214.75
1526616000000,7996.88,8067.16,7996.88,8022.6,404.38
1526619600000,8022.6,8054.59,7990.1,8040.29,223.18
1526623200000,8040.29,8040.3,7951.54,7972.6,348.85
1526626800000,7972.6,8172.82,7972.6,8094.99,755.66
1526630400000,8094.99,8139.96,8082.16,8125.0,164.66
1526634000000,8125.0,8136.5,8084.45,8110.0,113.27
1526637600000,8110.0,8148.38,8091.76,8130.59,92.64
1526641200000,8130.59,8133.89,8051.0,8109.0,321.45
1526644800000,8109.0,8139.99,8085.17,8110.51,162.58
1526648400000,8110.51,8124.6,8067.11,8103.32,202.82
1526652000000,8103.32,8103.32,8047.08,8082.08,272.29
1526655600000,8082.08,8132.84,8070.32,8113.13,279.45
1526659200000,8113.13,8145.0,8089.21,8130.1,375.14
1526662800000,8130.1,8140.0,8100.0,8113.56,186.5
1526666400000,8113.56,8230.0,8088.01,8216.0,712.69
1526670000000,8216.0,8279.63,8185.17,8227.56,722.46
1526673600000,8227.56,8247.1,8210.91,8220.0,234.8
1526677200000,8220.0,8263.96,8220.0,8231.77,180.43
1526680800000,8231.77,8249.0,8212.6,8219.99,115.28
1526684400000,8219.99,8247.74,8219.99,8238.51,140.61
1526688000000,8238.51,8250.0,8212.19,8220.34,158.3
1526691600000,8220.34,8227.0,8166.09,8191.48,216.24
1526695200000,8191.48,8214.65,8177.47,8200.85,138.27
1526698800000,8200.85,8272.47,8192.01,8235.0,339.13
1526702400000,8235.0,8243.79,8220.0,8234.96,154.91
1526706000000,8234.96,8234.96,8222.0,8233.46,77.25
1526709600000,8233.46,8243.0,8225.85,8225.85,60.42
1526713200000,8225.85,8237.0,8152.54,8185.0,293.23
1526716800000,8185.0,8214.5,8165.56,8214.49,51.9
1526720400000,8214.49,8214.5,8200.0,8200.01,45.01
1526724000000,8200.01,8249.0,8200.01,8239.3,66.33
1526727600000,8239.3,8368.31,8238.95,8368.31,359.26
1526731200000,8368.31,8390.0,8323.26,8348.99,177.69
1526734800000,8348.99,8363.87,8294.58,8299.99,273.1
1526738400000,8299.99,8333.97,8299.99,8315.01,207.34
1526742000000,8315.01,8322.7,8300.01,8317.31,164.32
1526745600000,8317.31,8320.0,8291.33,8297.0,191.36
1526749200000,8297.0,8312.96,8280.96,8303.0,92.32
1526752800000,8303.0,8336.14,8302.99,8307.01,139.05
1526756400000,8307.01,8310.0,8296.0,8306.57,103.62
1526760000000,8306.57,8310.0,8253.76,8253.76,144.83
1526763600000,8253.76,8260.0,8190.0,8197.99,376.04
